"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0071345","cellular response to cytokine stimulus",348,0.495509163459933,1.71223816413777,1.45699665193181e-06,0.00363015367062989,0.0035042126339246,437,"tags=20%, list=10%, signal=20%","4792/7114/3576/7538/1843/10096/2597/23521/5788/10581/7128/6217/10097/3326/2180/3579/1230/3192/4311/1441/25939/801/3557/3055/71/998/10410/1439/10312/960/5781/3575/8467/9750/3113/4067/115362/414062/100133941/64332/10365/3429/5008/2635/4790/3454/2950/11151/3309/7175/84817/4144/677/29110/1540/4502/4783/55914/7528/824/6672/3383/353514/9646/3659/3656/9100/5770/834/2920"
"GO:1901652","response to peptide",396,0.476739388094879,1.67348457615312,2.04170622645101e-06,0.00363015367062989,0.0035042126339246,509,"tags=21%, list=11%, signal=21%","4792/7114/3576/7538/1843/10096/2597/23521/5788/10581/6402/7128/6217/10097/3326/2180/3579/1230/3192/4311/1441/25939/801/3557/3055/71/998/10410/1439/10312/960/5781/3575/8467/9750/3113/4067/115362/414062/100133941/64332/10365/58191/3429/5008/2635/4790/3454/2950/11151/3309/7175/84817/4144/677/29110/1540/4502/4783/55914/6556/7528/824/6672/3383/351/29072/353514/9646/3659/3656/9100/5770/834/2920/9034/4170/2874/7454/7097/387/5771/4600/841"
"GO:0034097","response to cytokine",391,0.478799727002817,1.67850544324922,3.9029619536999e-06,0.00462631090245228,0.00446581015123346,509,"tags=21%, list=11%, signal=21%","4792/7114/3576/7538/1843/10096/2597/23521/5788/10581/6402/7128/6217/10097/3326/2180/3579/1230/3192/4311/1441/25939/801/3557/3055/71/998/10410/1439/10312/960/5781/3575/8467/9750/3113/4067/115362/414062/100133941/64332/10365/58191/3429/5008/2635/4790/3454/2950/11151/3309/7175/84817/4144/677/29110/1540/4502/4783/55914/6556/7528/824/6672/3383/351/29072/353514/9646/3659/3656/9100/5770/834/2920/9034/4170/2874/7454/7097/387/5771/4600/841"
