"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","23/165","144/2453",0.159722222222222,2.37453703703704,4.56457051933926,5.37667144124458e-05,0.0133341451742866,0.0122248529611456,"4939/6160/6774/6175/4938/6122/9636/9045/6129/4615/2197/6205/4599/6188/2212/5295/6233/5579/719/6772/4940/6868/114548",23
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","17/165","96/2453",0.177083333333333,2.63263888888889,4.38147317632268,0.000151064775889052,0.0187320322102424,0.0171736797852817,"3105/567/3107/5500/3106/4939/4938/6890/4615/330/3133/5295/972/6772/4940/3119/3134",17
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","6/165","16/2453",0.375,5.575,4.92943926513997,0.00038472620510246,0.0275074241015439,0.0252190305854562,"3105/3107/3106/3133/3119/3134",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","9/165","37/2453",0.243243243243243,3.61621621621622,4.30526833807359,0.000547652982642319,0.0275074241015439,0.0252190305854562,"3105/567/3107/3106/6890/3133/972/3119/3134",9
"Human Diseases","Immune disease","hsa05330","Allograft rejection","6/165","17/2453",0.352941176470588,5.24705882352941,4.71789520352679,0.000561775207762294,0.0275074241015439,0.0252190305854562,"3105/3107/3106/3133/3119/3134",6
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","18/165","118/2453",0.152542372881356,2.26779661016949,3.78984407650638,0.000665502196005096,0.0275074241015439,0.0252190305854562,"3105/567/3107/3106/4939/6774/4938/9636/6890/4615/3133/4616/5295/4193/6772/4940/3119/3134",18
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","6/165","18/2453",0.333333333333333,4.95555555555556,4.52239459375015,0.00079622340986819,0.0282090579496159,0.0258622942152675,"3105/3107/3106/3133/3119/3134",6
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","6/165","19/2453",0.315789473684211,4.69473684210526,4.34084441086853,0.00109964700626289,0.0340890571941496,0.0312531254411558,"3105/3107/3106/3133/3119/3134",6
