"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",17,0.900829990373941,2.01726223167068,1.73197473228053e-05,0.0366147223906488,0.0348241972177948,133,"tags=35%, list=3%, signal=34%","3105/567/3107/3106/6890/3133"
"GO:0071774","response to fibroblast growth factor",27,-0.776213987005513,-2.00370219482617,4.63889168176112e-05,0.0366147223906488,0.0348241972177948,118,"tags=33%, list=3%, signal=33%","1960/5781/2885/677/960/8826/7538/3576/9592"
"GO:0006446","regulation of translational initiation",51,-0.659365412915659,-1.9576840252562,7.20762251784425e-05,0.0366147223906488,0.0348241972177948,206,"tags=20%, list=5%, signal=19%","55024/7812/4869/1982/9689/1975/10209/1654/23521/23645"
"GO:0071346","cellular response to type II interferon",60,-0.639839800064053,-1.94209265343901,5.50782842247527e-05,0.0366147223906488,0.0348241972177948,417,"tags=27%, list=9%, signal=25%","3659/7791/7454/2633/54625/998/3799/801/7431/115362/10097/3113/3055/10096/23521/71"
"GO:0002449","lymphocyte mediated immunity",111,0.619570335537052,1.9108255959691,2.22940944659594e-05,0.0366147223906488,0.0348241972177948,383,"tags=24%, list=9%, signal=23%","3105/567/3107/3106/1604/1130/5580/4615/8807/7133/3133/2212/5295/3554/634/2215/972/127544/3635/3134/114548/7409/3665/1439/604/5130/8809"
"GO:0002699","positive regulation of immune effector process",104,0.608601767915532,1.86364620125322,4.3200095141575e-05,0.0366147223906488,0.0348241972177948,285,"tags=21%, list=6%, signal=20%","3105/567/3107/3106/301/6046/1604/2033/4615/8807/5650/2867/3133/3554/26057/55601/972/2268/3134/114548/7494/7409"
"GO:0002250","adaptive immune response",177,0.523563777791093,1.723091243939,6.5696991524727e-05,0.0366147223906488,0.0348241972177948,438,"tags=23%, list=10%, signal=22%","3105/567/3107/3106/301/6046/1604/64092/6774/2033/5580/6890/11025/4615/8807/55824/7133/3133/2212/3554/634/2215/5579/972/7462/3119/127544/3635/6868/3134/114548/3665/1439/11119/604/5130/8809/1514/55122/80762/80149"
