"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031640","killing of cells of another organism","8/278","25/4243",0.32,4.88402877697842,5.15685938975983,0.000124479240797662,0.0124520733877928,0.0115874886258315,"CXCL8/GAPDH/RPS19/S100A12/TREM1/NINJ1/GBP5/GBP3",8
"GO:0141061","disruption of cell in another organism","8/278","25/4243",0.32,4.88402877697842,5.15685938975983,0.000124479240797662,0.0124520733877928,0.0115874886258315,"CXCL8/GAPDH/RPS19/S100A12/TREM1/NINJ1/GBP5/GBP3",8
"GO:0042255","ribosome assembly","8/278","26/4243",0.307692307692308,4.6961815163254,5.00523299256156,0.000169718946251374,0.0164298889580766,0.01528911254346,"RPS19/RPS27/RPS14/RPL24/RPS15/RPS28/RPL5/DDX3X",8
"GO:0140694","non-membrane-bounded organelle assembly","22/278","147/4243",0.149659863945578,2.28419713209025,4.1956236357532,0.00018399213331359,0.0172550122523151,0.0160569450552946,"RPS19/RPS27/RPS14/LCP1/HNRNPU/CSDE1/RPL24/HCK/ACTG1/RPS15/DOCK5/RPS28/RPL5/FXR1/MSN/RIPOR2/SQSTM1/DDX3X/MAPRE1/PTEN/RPS23/TPR",22
"GO:0050727","regulation of inflammatory response","23/278","158/4243",0.145569620253165,2.22176941990711,4.14388694278115,0.000200869748974112,0.0182669732324639,0.0169986425527374,"NFKBIA/S100A8/TMSB4X/ZFP36/PTPRC/RPS19/NEAT1/TNFAIP3/S100A12/HCK/NINJ1/FXR1/LYN/NCF1/GBP5/PTGER4/NFKBIZ/CEBPB/IER3/OSM/GBP3/NFKB1/GSTP1",23
"GO:0034341","response to type II interferon","14/278","73/4243",0.191780821917808,2.92707204099734,4.39721283814935,0.000213007835747439,0.0188010739728842,0.0174956590785745,"ACTR3/GAPDH/RPL13A/IFITM2/ACTR2/CALM1/HCK/ACTG1/CDC42/IFITM3/HLA-DPA1/GBP5/CXCL16/GBP3",14
"GO:0031333","negative regulation of protein-containing complex assembly","12/278","58/4243",0.206896551724138,3.15777722649467,4.38085627223246,0.000288467028469811,0.0247339872125115,0.0230166323768544,"TMSB4X/RPL13A/CDC42/LAMP2/PTGER4/HSPA8/DDX3X/MAPRE1/HMGB1/PFN1/RIOK3/HSPA5",12
"GO:0141060","disruption of anatomical structure in another organism","8/278","28/4243",0.285714285714286,4.36073997944502,4.7239062796653,0.00030087607890198,0.0250813642440234,0.0233398899803203,"CXCL8/GAPDH/RPS19/S100A12/TREM1/NINJ1/GBP5/GBP3",8
"GO:0019221","cytokine-mediated signaling pathway","27/278","205/4243",0.131707317073171,2.01019477101246,3.92540999205619,0.000310302388767509,0.0251680396943593,0.0234205472944581,"NFKBIA/TMSB4X/CXCL8/PTPRC/IFITM2/TNFAIP3/ACSL1/CXCR2/CCR1/CSF3R/SAMHD1/IL1RN/HCK/IFITM3/CSF2RB/CD44/PTPN11/IL7R/LYN/CCL3L3/CD24/NFKBIZ/IFI27/OSM/IFNAR1/GSTP1/TXNDC17",27
"GO:0000028","ribosomal small subunit assembly","5/278","11/4243",0.454545454545455,6.9375408763898,5.22055000238114,0.000387773212335967,0.0298386515441086,0.0277668645702381,"RPS19/RPS27/RPS14/RPS15/RPS28",5
"GO:1900271","regulation of long-term synaptic potentiation","5/278","11/4243",0.454545454545455,6.9375408763898,5.22055000238114,0.000387773212335967,0.0298386515441086,0.0277668645702381,"TYROBP/MME/LGMN/FXR1/SQSTM1",5
"GO:0006959","humoral immune response","13/278","70/4243",0.185714285714286,2.83448098663926,4.09754919855641,0.000496951466847836,0.0372837838002589,0.0346950589880871,"CXCL8/GAPDH/PTPRC/RPS19/CFD/S100A12/MS4A1/TREM1/CR1/PI3/CCL3L3/SPNS2/SLPI",13
