"task","gene","gene_order","subtype_ref","avg_expr","pct_expr","expr_z","panel","subtype","disease"
"hillock_covid","KRT15",1,"G5c_naive
(FluA)",0,0,-0.701790313525056,"C","hillock","COVID-19"
"hillock_covid","KRT15",1,"unk_epi
(FluA)",0.350772358160883,28.2868525896414,-0.701790313525056,"C","hillock","COVID-19"
"hillock_covid","KRT15",1,"hillock
(COVID-19)",1.08469898181626,77.3333333333333,-0.701790313525056,"C","hillock","COVID-19"
"hillock_covid","KRT15",1,"ABC
(COVID-19)",0,0,-0.701790313525056,"C","hillock","COVID-19"
"hillock_covid","GCNT3",2,"G5c_naive
(FluA)",0.00192007529240982,0.277008310249307,-0.81107438211424,"C","hillock","COVID-19"
"hillock_covid","GCNT3",2,"unk_epi
(FluA)",0.718759493815335,50.199203187251,-0.81107438211424,"C","hillock","COVID-19"
"hillock_covid","GCNT3",2,"hillock
(COVID-19)",1.22412489402982,73.3333333333333,-0.81107438211424,"C","hillock","COVID-19"
"hillock_covid","GCNT3",2,"ABC
(COVID-19)",0,0,-0.81107438211424,"C","hillock","COVID-19"
"hillock_covid","TMPRSS11B",3,"G5c_naive
(FluA)",0.00384015058481964,0.554016620498615,-0.6939919807386,"C","hillock","COVID-19"
"hillock_covid","TMPRSS11B",3,"unk_epi
(FluA)",0.630913041648705,41.0358565737052,-0.6939919807386,"C","hillock","COVID-19"
"hillock_covid","TMPRSS11B",3,"hillock
(COVID-19)",2.01317537961014,89.3333333333333,-0.6939919807386,"C","hillock","COVID-19"
"hillock_covid","TMPRSS11B",3,"ABC
(COVID-19)",0,0,-0.6939919807386,"C","hillock","COVID-19"
"hillock_covid","EMP1",4,"G5c_naive
(FluA)",0.0096003764620491,1.38504155124654,-0.848406059893351,"C","hillock","COVID-19"
"hillock_covid","EMP1",4,"unk_epi
(FluA)",1.95491005317145,84.0637450199203,-0.848406059893351,"C","hillock","COVID-19"
"hillock_covid","EMP1",4,"hillock
(COVID-19)",2.53009816712108,96,-0.848406059893351,"C","hillock","COVID-19"
"hillock_covid","EMP1",4,"ABC
(COVID-19)",0,0,-0.848406059893351,"C","hillock","COVID-19"
"hillock_covid","KRT13",5,"G5c_naive
(FluA)",0.0115204517544589,1.66204986149584,-0.770644238272086,"C","hillock","COVID-19"
"hillock_covid","KRT13",5,"unk_epi
(FluA)",1.57671223744968,68.9243027888446,-0.770644238272086,"C","hillock","COVID-19"
"hillock_covid","KRT13",5,"hillock
(COVID-19)",3.29991594826537,98.6666666666667,-0.770644238272086,"C","hillock","COVID-19"
"hillock_covid","KRT13",5,"ABC
(COVID-19)",0,0,-0.770644238272086,"C","hillock","COVID-19"
"unk_epi_fluA","SPRR1B",1,"G5c_naive
(FluA)",0.00384015058481964,0.554016620498615,-0.78795043513995,"B","unk_epi","FluA"
"unk_epi_fluA","SPRR1B",1,"unk_epi
(FluA)",1.10672664707695,60.5577689243028,-0.78795043513995,"B","unk_epi","FluA"
"unk_epi_fluA","SPRR1B",1,"hillock
(COVID-19)",0.578930580134327,41.3333333333333,-0.78795043513995,"B","unk_epi","FluA"
"unk_epi_fluA","SPRR1B",1,"ABC
(COVID-19)",0,0,-0.78795043513995,"B","unk_epi","FluA"
"unk_epi_fluA","PPP1CB",2,"G5c_naive
(FluA)",0.265014179992827,29.0858725761773,-0.640732706835643,"B","unk_epi","FluA"
"unk_epi_fluA","PPP1CB",2,"unk_epi
(FluA)",1.22446170072126,76.4940239043825,-0.640732706835643,"B","unk_epi","FluA"
"unk_epi_fluA","PPP1CB",2,"hillock
(COVID-19)",0.792363562148685,66.6666666666667,-0.640732706835643,"B","unk_epi","FluA"
"unk_epi_fluA","PPP1CB",2,"ABC
(COVID-19)",0.0959781056868988,12.9032258064516,-0.640732706835643,"B","unk_epi","FluA"
"unk_epi_fluA","PSCA",3,"G5c_naive
(FluA)",0.0096003764620491,1.38504155124654,-0.83412277584421,"B","unk_epi","FluA"
"unk_epi_fluA","PSCA",3,"unk_epi
(FluA)",1.90881702099882,90.4382470119522,-0.83412277584421,"B","unk_epi","FluA"
"unk_epi_fluA","PSCA",3,"hillock
(COVID-19)",1.32662317962827,86.6666666666667,-0.83412277584421,"B","unk_epi","FluA"
"unk_epi_fluA","PSCA",3,"ABC
(COVID-19)",0,0,-0.83412277584421,"B","unk_epi","FluA"
"unk_epi_fluA","ANXA1",4,"G5c_naive
(FluA)",0.185989346023308,19.9445983379501,-0.77396826407503,"B","unk_epi","FluA"
"unk_epi_fluA","ANXA1",4,"unk_epi
(FluA)",3.03794168079383,92.8286852589641,-0.77396826407503,"B","unk_epi","FluA"
"unk_epi_fluA","ANXA1",4,"hillock
(COVID-19)",2.07059031990227,86.6666666666667,-0.77396826407503,"B","unk_epi","FluA"
"unk_epi_fluA","ANXA1",4,"ABC
(COVID-19)",0.0111797932348378,1.61290322580645,-0.77396826407503,"B","unk_epi","FluA"
"unk_epi_fluA","B2M",5,"G5c_naive
(FluA)",2.93444171487961,99.7229916897507,1.18005078856042,"B","unk_epi","FluA"
"unk_epi_fluA","B2M",5,"unk_epi
(FluA)",2.45015127124857,98.804780876494,1.18005078856042,"B","unk_epi","FluA"
"unk_epi_fluA","B2M",5,"hillock
(COVID-19)",1.59663750920396,86.6666666666667,1.18005078856042,"B","unk_epi","FluA"
"unk_epi_fluA","B2M",5,"ABC
(COVID-19)",2.08349498883436,98.3870967741936,1.18005078856042,"B","unk_epi","FluA"
