,precision,recall,f1-score,support
healthy,0.9580952380952381,0.9014336917562724,0.9289012003693444,558.0
COVID-19,0.8923076923076924,0.8838095238095238,0.8880382775119617,525.0
fluA,0.9552953698775944,0.9750135795763172,0.9650537634408602,1841.0
accuracy,0.9445964432284542,0.9445964432284542,0.9445964432284542,0.9445964432284542
macro avg,0.935232766760175,0.9200855983807045,0.9273310804407222,2924.0
weighted avg,0.9445203342213859,0.9445964432284542,0.9443265882334124,2924.0
