target_class,gene,attr_mean_signed,attr_mean_abs,attr_pos_frac,n_cells
flua,HLA-A,0.04600505981673241,0.05152527318578386,0.4644215100488865,1841
flua,B2M,0.03804414098124217,0.04071816907247598,0.7012493210211841,1841
flua,HLA-C,0.03351213972831407,0.044857551389773986,0.4665942422596415,1841
flua,MT-RNR2,0.031055411555597406,0.03301088218129503,0.6854970124932103,1841
flua,FTH1,0.02637437800231801,0.026657580358058715,0.8745247148288974,1841
flua,PSCA,0.025267633939812458,0.02537790955828947,0.14665942422596415,1841
flua,PPP1CB,0.02363126314184965,0.023826064152409367,0.3644758283541554,1841
flua,S100A9,0.023345326710368937,0.02406625673862853,0.7131993481803368,1841
flua,NAMPT,0.022592822764633404,0.022837314088988214,0.7810972297664313,1841
flua,HLA-B,0.022393230282049474,0.024826628821236745,0.701792504073873,1841
flua,TXNIP,0.019382739912097314,0.022599943269535874,0.41390548614883216,1841
flua,HBB,0.018246586653588585,0.01922415459143086,0.10917979359043997,1841
flua,ANXA1,0.017000851125771554,0.017508230654200027,0.3492667028788702,1841
flua,EVI2B,0.01658233870701062,0.016856337681469356,0.37316675719717546,1841
flua,UBE2D3,0.014715533276604026,0.015300373516932315,0.5149375339489408,1841
flua,OAS2,0.013186977309160165,0.01325398403493559,0.2808256382400869,1841
flua,RPL31,0.012457446355548712,0.013495540901480292,0.07495926127104835,1841
flua,IFITM1,0.012396266915628536,0.013333417293107231,0.423139598044541,1841
flua,BRD2,0.011457107046549246,0.012978585775878881,0.3020097772949484,1841
flua,MT-CO1,0.01144178450463713,0.01182163461014863,0.22270505160239001,1841
flua,SPRR1B,0.011400564860538386,0.011577256481451048,0.07115697990222705,1841
flua,CD55,0.011388477239512931,0.017627946356597767,0.5355784899511136,1841
flua,CFLAR,0.011341223925238779,0.012370298311543296,0.3639326453014666,1841
flua,IFI6,0.011086702970044241,0.011257650086829224,0.3221075502444324,1841
flua,SAMSN1,0.011042080402762782,0.011370024008960714,0.3796849538294405,1841
flua,ANXA2,0.010896158568047104,0.01115756404587654,0.17870722433460076,1841
flua,BTG1,0.010430727864270104,0.010863810049198945,0.45464421510048886,1841
flua,IFI27,0.010420954495360837,0.0105707668524796,0.14340032590983162,1841
flua,PCBP1,0.010173871093376507,0.010540941668424446,0.4823465507876154,1841
flua,STAT3,0.010050153939507695,0.010387829290920466,0.38946224877783814,1841
flua,ATP6V1B2,0.010009841259927092,0.011472782108979274,0.24551873981531777,1841
flua,BCL2A1,0.010004148047087569,0.015005379251524653,0.2677892449755568,1841
flua,LYST,0.009980570142486702,0.010329063036790171,0.23954372623574144,1841
flua,ANXA11,0.009886710884809365,0.009997607337787448,0.25040738728951656,1841
flua,SLC38A2,0.009835829695262772,0.01204860247651369,0.1656708310700706,1841
flua,XAF1,0.009781296677090176,0.010418828716425712,0.32156436719174364,1841
flua,RPLP0,0.009384101277975076,0.009998182461094688,0.11406844106463879,1841
flua,KRT23,0.00906354420990893,0.011195762379379262,0.08908202064095601,1841
flua,TMEM123,0.00881751531624781,0.008938588295081333,0.3639326453014666,1841
flua,SOD2,0.008790460291244232,0.011817747827200447,0.7778381314502988,1841
flua,IL1R2,0.008750799118598345,0.01008992360895707,0.20695274307441608,1841
flua,TPM3,0.008718205730206678,0.01101951072036022,0.3910917979359044,1841
flua,CHD1,0.008621918246967517,0.008921903559593065,0.38674633351439436,1841
flua,OAS1,0.008520762377915856,0.008948903330508164,0.26072786529060293,1841
flua,GLUL,0.008500080116574755,0.013599500683323966,0.33948940793047255,1841
flua,EP300,0.008385136719977222,0.011716330851924478,0.06735469853340575,1841
