Model,ACC,BACC,F1_macro,F1_weighted,AUROC_macro,AUPRC_macro,healthy_f1,COVID-19_f1,fluA_f1,healthy_precision,healthy_recall,healthy_support,COVID-19_precision,COVID-19_recall,COVID-19_support,fluA_precision,fluA_recall,fluA_support,hp_model_name,hp_C,hp_solver,hp_max_iter,hp_tol,hp_note,hp_best_C,hp_best_val_F1_macro,hp_best_params,hp_input_dim,hp_hidden1,hp_hidden2,hp_input_dropout,hp_dropout1,hp_dropout2,hp_learning_rate,hp_batch_size,hp_epochs_max,hp_early_stopping_patience,hp_best_var_smoothing
RF,0.8522571819425444,0.7746820626938375,0.8040795502750623,0.8477312554733256,0.9525772607109858,0.8991483951652218,0.7777777777777777,0.7327327327327328,0.9017281403146764,0.9130434782608695,0.6774193548387096,558,0.7721518987341772,0.6971428571428572,525,0.8585461689587426,0.9494839760999457,1841,,,,,,,,0.8106267818569511,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 2}",,,,,,,,,,,
NB,0.6077291381668947,0.5401466269760149,0.48495457937569525,0.5897323524189072,0.6901735697639685,0.4614689667185287,0.1830065359477124,0.546526867627785,0.7253303345515884,0.33816425120772947,0.12544802867383512,558,0.4165834165834166,0.7942857142857143,525,0.7517482517482518,0.7007061379684953,1841,,,,,,,,0.5198855148768257,,,,,,,,,,,,1e-09
KNN,0.6367989056087552,0.45475224168465916,0.45997764212859177,0.603436861963866,0.7013931210090171,0.5334136105049271,0.2625766871165644,0.33367875647668394,0.7836774827925271,0.4163424124513619,0.1917562724014337,558,0.3659090909090909,0.30666666666666664,525,0.7157611136057477,0.8658337859858772,1841,,,,,,,,0.47658146677307617,"{'n_neighbors': 21, 'weights': 'distance'}",,,,,,,,,,,
