target_class,gene,attr_mean_signed,attr_mean_abs,attr_pos_frac,n_cells
covid,NFKBIA,0.1491511638959249,0.15012217147009713,0.49142857142857144,525
covid,PLEK,0.11560883993194217,0.1176429902371906,0.37523809523809526,525
covid,S100A8,0.07002313412371136,0.07164821351567904,0.4095238095238095,525
covid,TMSB4X,0.06876455397832962,0.06950070880708241,0.660952380952381,525
covid,CXCL8,0.06875461217902956,0.07065703122388749,0.37333333333333335,525
covid,IER2,0.06324707059633164,0.06407500698452905,0.3161904761904762,525
covid,RPL18A,0.06320023324872766,0.06382031974693139,0.37142857142857144,525
covid,ZFP36,0.06055332116427876,0.061089361977009544,0.3638095238095238,525
covid,EEF1A1,0.057030766861779346,0.05811284297988528,0.6323809523809524,525
covid,DUSP1,0.04921397047383445,0.049740074078241985,0.4419047619047619,525
covid,LITAF,0.0490103436651684,0.05026081868580409,0.38857142857142857,525
covid,FPR1,0.04879479439485641,0.04947240088667188,0.3180952380952381,525
covid,KLF6,0.04860986562002273,0.05003816970757076,0.4780952380952381,525
covid,AC009501.4,0.04768686902265818,0.04781974295375958,0.21714285714285714,525
covid,ACTR3,0.04587305886404855,0.04620878599938892,0.4685714285714286,525
covid,GAPDH,0.044129152127674647,0.04476728141307831,0.42857142857142855,525
covid,RPL13A,0.04342134839012509,0.04429869856153216,0.4228571428571429,525
covid,MTRNR2L1,0.04299839404367265,0.04489389147077288,0.16380952380952382,525
covid,PTPRC,0.04266807306380499,0.04320845036279587,0.49523809523809526,525
covid,IFITM2,0.041868441477417945,0.042564564010217076,0.30095238095238097,525
covid,RPLP1,0.04088722365243094,0.04196858042762393,0.379047619047619,525
covid,RPL27A,0.04029311725071498,0.041349246956053236,0.3219047619047619,525
covid,RPS19,0.040234563464210144,0.04074161075410389,0.2819047619047619,525
covid,SELL,0.03999402766071615,0.04004271743198236,0.24571428571428572,525
covid,RPL34,0.03912394671213059,0.039938632533663795,0.29523809523809524,525
covid,RPS27,0.03879453068687802,0.03923589479355585,0.32,525
covid,TYROBP,0.03680019314090411,0.03793557806383996,0.17714285714285713,525
covid,JUNB,0.03676380259871838,0.03889006205479659,0.2419047619047619,525
covid,RPS20,0.036523985181535996,0.03685514359247117,0.3352380952380952,525
covid,MT-ATP6,0.03442148685455322,0.035644857996986024,0.38285714285714284,525
covid,PPP1R15A,0.03390616353069033,0.04070866027048656,0.3504761904761905,525
covid,NEAT1,0.033450659875358855,0.03415966830083302,0.30666666666666664,525
covid,RPS4X,0.03338427322251456,0.034295470941634404,0.36952380952380953,525
covid,MT-CYB,0.033020380224500386,0.034543830440157935,0.22666666666666666,525
covid,KIAA1551,0.03270397240207309,0.033307830123674304,0.42095238095238097,525
covid,TNFAIP3,0.03206966533547356,0.03296253337746575,0.3219047619047619,525
covid,MT-ND3,0.0313736940849395,0.031896570835794724,0.14666666666666667,525
covid,HLA-DPB1,0.030188379846735013,0.03090491522103548,0.17142857142857143,525
covid,CFD,0.030115202452455248,0.030423216081800916,0.07428571428571429,525
covid,G0S2,0.03011469378357842,0.03146383173408963,0.2571428571428571,525
covid,RPS16,0.029563356808253696,0.02978932130904425,0.3961904761904762,525
covid,BTG2,0.029379790255001613,0.030015864173571268,0.1961904761904762,525
covid,ACTR2,0.029223910300504592,0.029512962124177387,0.4514285714285714,525
covid,HLA-DRA,0.0291159302847726,0.029308557907740274,0.31047619047619046,525
covid,HSP90AB1,0.02821473572935377,0.028719800511995953,0.37333333333333335,525
covid,XIST,0.02783638274740605,0.028851455363134545,0.08571428571428572,525
covid,RPS14,0.027619750045594714,0.030684805597577778,0.24952380952380954,525
covid,ACSL1,0.027387947752362207,0.027770855029424033,0.2857142857142857,525
covid,HSP90B1,0.027145536286490305,0.027460010619390577,0.30857142857142855,525
covid,CXCR2,0.026887575494391577,0.027295306686844146,0.17714285714285713,525
covid,IGSF6,0.02676537433905261,0.027452225000375793,0.12571428571428572,525
covid,CCR1,0.02663257784254494,0.02697916863929658,0.1219047619047619,525
covid,S100A6,0.02640903944060916,0.026614295017151606,0.2838095238095238,525
covid,JUN,0.025514323576575234,0.025772129680429186,0.2,525
covid,VASP,0.02534967391263871,0.026724341738791693,0.2761904761904762,525
covid,LCP1,0.024776330348991214,0.027962995114780606,0.2914285714285714,525
covid,PSAP,0.024743364538465228,0.025870759260086786,0.36952380952380953,525
covid,SH3BGRL3,0.02458473666083245,0.025404546778826486,0.22666666666666666,525
covid,ARPC5,0.02455359214828128,0.025483014867419287,0.25142857142857145,525
covid,PLXNC1,0.024345472997852734,0.02451338132577283,0.19428571428571428,525
covid,REST,0.024290876842680432,0.02492771801494417,0.19238095238095237,525
covid,HNRNPU,0.024072044576917376,0.024513707501547678,0.33904761904761904,525
covid,S100A12,0.02404743318412719,0.024249859044350508,0.10285714285714286,525
covid,GPR82,0.02403782265526908,0.024545208158947174,0.07428571428571429,525
covid,MME,0.02377032608021095,0.02421281359252697,0.08,525
covid,HNRNPC,0.023643361415181842,0.024063448082833064,0.3657142857142857,525
covid,CSF3R,0.023470197092919122,0.024143727535293216,0.15619047619047619,525
covid,H3F3B,0.023225490195410592,0.02857999693070139,0.30666666666666664,525
covid,RPS29,0.023000237317312332,0.023016056617101033,0.18095238095238095,525
covid,RPL41,0.022986815458252315,0.026887229482332867,0.25333333333333335,525
covid,AQP9,0.02286371124642236,0.023036684606756484,0.2723809523809524,525
covid,RPL19,0.022571781398285,0.0244831752457789,0.4114285714285714,525
covid,MS4A1,0.022502192811863053,0.023059201850334093,0.14285714285714285,525
covid,EMP1,0.022203958715711323,0.02223525024595715,0.24571428571428572,525
covid,TMEM30A,0.021775199131197517,0.02185609205736823,0.18857142857142858,525
covid,CSDE1,0.02139567738487607,0.02217042605082194,0.30666666666666664,525
covid,RPL21,0.021059243750004543,0.021355777496383305,0.4,525
covid,STK17A,0.020668237663450696,0.02100708257584345,0.15047619047619049,525
covid,SAMHD1,0.02065057805606297,0.02139875576609657,0.15047619047619049,525
covid,GLUD1,0.02048038512468338,0.020490718412966954,0.14857142857142858,525
covid,KRT13,0.02000270236106146,0.020006660109474547,0.22666666666666666,525
covid,TPT1,0.019984369419869922,0.029469257649921237,0.3923809523809524,525
covid,YME1L1,0.019930372856379976,0.019987749634310603,0.21333333333333335,525
covid,RPS26,0.019889814314388094,0.019970383445421853,0.11047619047619048,525
covid,CALM1,0.019862964607420423,0.020498159329096478,0.30095238095238097,525
covid,RPL4,0.01985182137716384,0.020655368850344705,0.2876190476190476,525
covid,RPL24,0.019732370263054258,0.019884110178266252,0.26285714285714284,525
covid,IL1RN,0.01948095345071384,0.0197960987616153,0.30857142857142855,525
covid,GRB2,0.019465447323662895,0.01996828005427406,0.30857142857142855,525
covid,HDGF,0.019449638582411267,0.02041938886755989,0.16380952380952382,525
covid,RPS15A,0.019380679584684826,0.019581458000909713,0.33904761904761904,525
covid,PTPRCAP,0.019291081634305773,0.020079817860609007,0.13142857142857142,525
covid,KRT15,0.019224197183336532,0.0192275375411624,0.15428571428571428,525
covid,ATP2B1,0.01919506868436223,0.02068576862414678,0.22857142857142856,525
covid,RPL6,0.019139141491836025,0.019294242473940054,0.3161904761904762,525
covid,LGMN,0.01882803559125889,0.018829689889791466,0.047619047619047616,525
covid,PROK2,0.01851259153691076,0.019113441918577466,0.10095238095238095,525
covid,HCK,0.018457151693957192,0.019316586284410384,0.11619047619047619,525
covid,ATP13A3,0.018361876124427433,0.01841113899435316,0.13904761904761906,525
